web-scraper-order,web-scraper-start-url,names
"1748814827-1","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Panorama Marbella's longest established real estate agency"
"1748814827-2","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Engel & Völkers Marbella"
"1748814827-3","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Marbella East Engel & Völkers"
"1748814827-4","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","LuxEstate"
"1748814827-5","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Airus Homes"
"1748814827-6","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Gilmar Puerto Banús"
"1748814827-7","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Gilmar Marbella - Golden Mile"
"1748814827-8","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","PRO Real Estate Guadalmina"
"1748814827-9","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Engel & Völkers Puerto Banus"
"1748814827-10","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Velian Group"
"1748814827-11","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Marbella West Engel & Völkers"
"1748814827-12","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Marbella Living Estate Agents"
"1748814827-13","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Strand Properties"
"1748814827-14","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Webster & Co"
"1748814827-15","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Commerzia"
"1748814827-16","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","LINEA INVEST ESTATES"
"1748814827-17","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Costa del Sol Property"
"1748814827-18","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","BRACESCO International Real Estate - Costa del Sol"
"1748814827-19","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","GR8 Real Estate"
"1748814827-20","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Cosmopolitan Properties"
"1748814827-21","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","CENTURY 21 Sun"
"1748814827-22","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Marbella 360"
"1748814827-23","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Dream Costa"
"1748814827-24","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Affinity Spain"
"1748814827-25","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Quality Keys Marbella"
"1748814827-26","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Solvilla"
"1748814827-27","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Euro Service Real Estate"
"1748814827-28","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Grupo Inmobiliario Ikaros"
"1748814827-29","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Aventus NT SL"
"1748814827-30","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Siesta Homes"
